gisjoin,centroid_lat,centroid_lon,lat_sq,lon_sq,lat_x_lon
G3700030,35.921015899800096,-81.17725410669199,1290.3193832736913,6589.746584302442,-2915.9694354685957
G5105100,38.819356475814445,-77.06205175952128,1506.9424371963569,5938.559821387137,-2991.4992580105204
G4000030,36.730741887356906,-98.32399119415965,1349.147399595635,9667.607244349185,-3611.513141887431
G2600030,46.408728315220195,-86.60505749048795,2153.7700638359206,7500.435982930723,-4019.230583800081
G1900050,43.28412140518376,-91.37804024616032,1873.5151658186871,8349.946239228895,-3955.218187782571
G2600050,42.59127313645835,-85.88844229545496,1814.0165473843983,7376.824519939697,-3658.098105070664
G2400010,39.62157121777674,-78.69905427433744,1569.8689057653542,6193.54114367511,-3118.180183702338
G3600030,42.25713847991864,-78.02754566650178,1785.6657525110204,6088.297882738021,-3297.220802477541
G3700050,36.491345888149674,-81.12712373503055,1331.618324728578,6581.610205518958,-2960.437933125717
G5100050,37.787378036957904,-80.00762248035645,1427.8859389079685,6401.219654959238,-3023.278276503441
G4200030,40.46872784255458,-79.9811787466378,1637.717933194752,6396.988953701625,-3236.7365552243955
G1800030,41.0908078362608,-85.06658282276011,1688.454488636512,7236.323513141506,-3495.4546080573996
G2000010,37.88569722551151,-95.30139625794055,1435.3260542631303,9082.356128713009,-3610.559843796831
G2100030,36.751245696090706,-86.19040728617881,1350.6540602144255,7428.786308157385,-3167.604834820484
G2200030,30.65279399113996,-92.82802330713632,939.5937794632662,8617.041911110246,-2845.438275038389
G3900030,40.771531739855035,-84.10580749670346,1662.3178004140066,7073.78685467254,-3429.122599857983
G4500050,32.98806876823619,-81.35818294263453,1088.21268105788,6619.153931727188,-2683.8493337703685
G2600070,45.03470563050275,-83.62771159713282,2028.1247112260369,6993.594146973222,-3766.1493743294577
G0600030,38.5970992107078,-119.82060266133684,1489.736067481221,14356.976822125964,-4624.727688406418
G0600050,38.44660254841205,-120.65165641310146,1478.141247515564,14556.822195225088,-4638.646280922082
G5100070,37.33603801850484,-77.97602025480651,1393.9797349192386,6080.259734777996,-2911.315656765159
G5100090,37.60471570101604,-79.14503345011285,1414.1146429542423,6263.9363198194815,-2976.226482038898
G2800050,31.174396433283007,-90.80442680329844,971.8429929794884,8245.443927075581,-2830.7731990630546
G2000030,38.21412889815573,-95.2933366934384,1460.3196474448607,9080.820018169014,-3641.551851538408
G2100050,38.00360755961677,-84.99181818909663,1444.2741875453607,7223.609159088457,-3229.995704236727
G4500070,34.51898672212981,-82.63794831692532,1191.560444322574,6829.03050203082,-2852.5782406959947
G4700010,36.11842553266002,-84.1985268183349,1304.5406629583072,7089.391918377861,-3041.1182208477067
G4800010,31.813266055060467,-95.65235859492158,1012.0838970900626,9149.373704771468,-3043.01393277429
